epoch,epoch_time_sec,train_loss,train_acc,val_loss,val_acc
1,78.7870,1.411439,49.0567,0.828134,73.5400
1,140.9153,0.932417,68.6681,0.385116,88.1800
2,153.6192,0.383719,88.2266,0.220498,93.3600
1,137.1194,1.149715,59.9395,0.409853,87.2000
2,144.3616,0.354164,88.8749,0.201855,93.8600
3,164.7222,0.229211,92.8741,0.161360,95.3600
1,160.6473,1.096572,62.1941,0.423871,86.7600
